company_name,region_name,map_country,coverage_status,note,unknown_type
Catapult,Europe (major leagues),England,full,,
Catapult,Europe (major leagues),Spain,full,,
Catapult,Europe (major leagues),Germany,full,,
Catapult,Europe (major leagues),France,full,,
Catapult,Europe (major leagues),Italy,full,,
Catapult,Europe (major leagues),Netherlands,full,,
Catapult,Europe (major leagues),Portugal,full,,
Catapult,Europe (major leagues),Belgium,full,,
Catapult,Europe (major leagues),Turkey,full,,
Catapult,Europe (major leagues),Poland,full,,
Catapult,Europe (major leagues),Scotland,full,,
Catapult,Europe (major leagues),Austria,full,,
Catapult,Europe (major leagues),Switzerland,full,,
Catapult,Europe (major leagues),Denmark,full,,
Catapult,Europe (major leagues),Sweden,full,,
Catapult,Europe (major leagues),Norway,full,,
Catapult,Europe (major leagues),Greece,full,,
Catapult,Europe (major leagues),Ukraine,full,,
Catapult,Europe (major leagues),Russia,full,,
Catapult,Europe (major leagues),Czech Republic,full,,
Catapult,Europe (major leagues),Croatia,full,,
Catapult,Europe (major leagues),Serbia,full,,
Catapult,Europe (major leagues),Romania,full,,
Catapult,Europe (major leagues),Hungary,full,,
Catapult,Europe (major leagues),Ireland,full,,
Catapult,Europe (major leagues),Wales,full,,
Catapult,Europe (major leagues),Finland,full,,
Catapult,Europe (major leagues),Iceland,full,,
Catapult,Europe (major leagues),Slovakia,full,,
Catapult,Europe (major leagues),Slovenia,full,,
Catapult,Europe (major leagues),Bulgaria,full,,
Catapult,Europe (major leagues),Bosnia and Herzegovina,full,,
Catapult,Europe (major leagues),Cyprus,full,,
Catapult,Europe (major leagues),Israel,full,,
Catapult,Europe (major leagues),Georgia,full,,
Catapult,Europe (major leagues),Azerbaijan,full,,
Catapult,Europe (major leagues),Kazakhstan,full,,
Catapult,Europe (major leagues),Albania,full,,
Catapult,Europe (major leagues),Montenegro,full,,
Catapult,North America,United States,full,,
Catapult,North America,Canada,full,,
Catapult,North America,Mexico,full,,
Catapult,Asia-Pacific,Japan,partial,,
Catapult,Asia-Pacific,South Korea,partial,,
Catapult,Asia-Pacific,China,partial,,
Catapult,Asia-Pacific,Australia,partial,,
Catapult,Asia-Pacific,India,partial,,
Catapult,Asia-Pacific,Thailand,partial,,
Catapult,Asia-Pacific,Vietnam,partial,,
Catapult,Asia-Pacific,Indonesia,partial,,
Catapult,Asia-Pacific,Malaysia,partial,,
Catapult,Asia-Pacific,Philippines,partial,,
Catapult,Asia-Pacific,Singapore,partial,,
Catapult,Asia-Pacific,Saudi Arabia,partial,,
Catapult,Asia-Pacific,Qatar,partial,,
Catapult,Asia-Pacific,United Arab Emirates,partial,,
Catapult,Asia-Pacific,Iran,partial,,
Catapult,Asia-Pacific,Iraq,partial,,
Catapult,Asia-Pacific,New Zealand,partial,,
Catapult,CAF / Continental Africa,South Africa,unknown,,
Catapult,CAF / Continental Africa,Nigeria,unknown,,
Catapult,CAF / Continental Africa,Ghana,unknown,,
Catapult,CAF / Continental Africa,Ivory Coast,unknown,,
Catapult,CAF / Continental Africa,Senegal,unknown,,
